Zeit t / s,Spannung U_A1 / V,Spannung U_B1 / V
0,0.193,-0.0105
0.101,0.191,-0.01035
0.201,0.191,-0.0105
0.3,0.1925,-0.01065
0.401,0.191,-0.01035
0.5,0.1925,-0.01065
0.601,0.1925,-0.0105
0.701,0.191,-0.01035
0.8,0.1925,-0.01065
0.9,0.1925,-0.01065
1,0.1925,-0.01065
1.099,0.1935,-0.0105
1.2,0.1925,-0.01065
1.301,0.191,-0.01035
1.401,0.191,-0.01035
1.5,0.193,-0.01065
1.599,0.193,-0.01065
1.7,0.1925,-0.01065
1.8,0.1925,-0.01065
1.9,0.1925,-0.01065
2,0.1925,-0.01065
2.1,0.1925,-0.01065
2.2,0.1925,-0.0105
2.3,0.1925,-0.0105
2.401,0.191,-0.01035
2.501,0.191,-0.01035
2.6,0.1925,-0.01065
2.7,0.1925,-0.01065
2.8,0.1925,-0.0105
2.9,0.1925,-0.0105
3,0.1925,-0.0105
3.1,0.1925,-0.01065
3.2,0.1925,-0.01065
3.3,0.1925,-0.01065
3.4,0.1925,-0.01065
3.5,0.193,-0.01065
3.6,0.192,-0.01065
3.701,0.191,-0.01035
3.801,0.191,-0.0105
3.9,0.192,-0.0105
3.999,0.193,-0.0105
4.1,0.192,-0.0105
4.2,0.192,-0.0105
4.301,0.192,-0.0105
4.4,0.192,-0.0105
4.499,0.193,-0.0105
4.6,0.192,-0.0105
4.7,0.192,-0.0105
4.801,0.192,-0.0105
4.9,0.1915,-0.0105
5,0.192,-0.01035
5.101,0.191,-0.0102
5.201,0.1915,-0.0105
5.3,0.1915,-0.0105
5.401,0.191,-0.0105
5.5,0.1915,-0.0105
5.601,0.191,-0.0105
5.7,0.1915,-0.0105
5.8,0.1915,-0.0105
5.902,0.191,-0.0102
6,0.1915,-0.0105
6.099,0.193,-0.01065
6.2,0.193,-0.01065
6.3,0.191,-0.0105
6.4,0.191,-0.0105
6.5,0.191,-0.0105
6.6,0.191,-0.0105
6.701,0.191,-0.0105
6.8,0.1925,-0.01065
6.9,0.191,-0.01035
6.999,0.1925,-0.0108
7.1,0.191,-0.0105
7.201,0.1905,-0.0102
7.3,0.191,-0.01065
7.4,0.191,-0.0105
7.501,0.1905,-0.01035
7.6,0.191,-0.0105
7.701,0.1905,-0.01035
7.801,0.191,-0.0105
7.9,0.191,-0.0105
8,0.191,-0.0105
8.1,0.191,-0.0105
8.2,0.1905,-0.01065
8.3,0.191,-0.01065
8.401,0.1905,-0.0105
8.5,0.191,-0.01065
8.599,0.192,-0.01065
8.7,0.191,-0.01065
8.799,0.192,-0.01065
8.899,0.1915,-0.01065
9,0.191,-0.01065
9.1,0.1905,-0.01035
9.199,0.1915,-0.01065
9.3,0.191,-0.0105
9.4,0.1905,-0.0105
9.501,0.191,-0.01095
9.6,0.1905,-0.0114
9.701,0.191,-0.0129
9.8,0.1905,-0.01035
9.9,0.191,-0.00855
10,0.191,-0.01125
10.1,0.1905,-0.0108
10.2,0.1905,-0.0108
10.3,0.19,-0.0105
10.4,0.19,-0.01095
10.5,0.19,-0.0111
10.6,0.19,-0.012
10.7,0.19,-0.0111
10.8,0.19,-0.01245
10.901,0.1895,-0.0114
11,0.1895,-0.0141
11.1,0.1895,-0.01305
11.201,0.19,-0.01215
11.3,0.189,-0.01155
11.401,0.189,-0.012
11.5,0.1885,-0.01305
11.6,0.188,-0.01305
11.701,0.1885,-0.01155
11.801,0.188,-0.01155
11.901,0.1875,-0.0126
12,0.187,-0.01245
12.1,0.187,-0.01365
