Zeit t / s,Spannung U_A1 / V,Spannung U_B1 / V
0,-0.0175,0.985
0.501,-0.0175,0.98
1,-0.0175,0.985
1.5,-0.0175,0.985
2.001,-0.0175,0.985
2.5,-0.0175,0.985
2.999,-0.0175,0.985
3.501,-0.0175,0.985
4,-0.0175,0.985
4.5,-0.0175,0.985
5.001,-0.0175,0.985
5.5,-0.0175,0.985
6.001,-0.0175,0.985
6.5,-0.0175,0.985
7,-0.0175,0.985
7.499,-0.0175,0.985
8,-0.0175,0.985
8.499,-0.0175,0.985
9,-0.0175,0.985
9.5,-0.0175,0.985
10.001,-0.0175,0.985
10.5,-0.0175,0.985
11,-0.0175,0.985
11.5,-0.0175,0.985
12,-0.0175,0.985
12.5,-0.0175,0.985
13,-0.017,0.985
13.5,-0.017,0.985
14,-0.017,0.985
14.5,-0.017,0.985
14.999,-0.017,0.985
15.5,-0.017,0.985
16,-0.017,0.985
16.5,-0.0165,0.985
16.999,-0.0165,0.98
17.5,-0.0165,0.98
18,-0.016,0.98
18.5,-0.016,0.98
19,-0.016,0.985
19.5,-0.0155,0.98
20,-0.0155,0.98
20.5,-0.015,0.98
21.001,-0.0145,0.98
21.5,-0.0145,0.98
22,-0.014,0.98
22.5,-0.0135,0.98
23,-0.0135,0.98
23.501,-0.013,0.98
24,-0.0125,0.98
24.5,-0.012,0.975
25,-0.0115,0.975
25.5,-0.011,0.975
26,-0.0105,0.975
26.5,-0.0105,0.975
27,-0.01,0.975
27.5,-0.01,0.97
28,-0.0095,0.97
28.5,-0.009,0.97
29,-0.0085,0.97
29.499,-0.008,0.97
29.999,-0.0075,0.97
30.5,-0.0075,0.965
31,-0.007,0.965
31.5,-0.0065,0.965
32,-0.006,0.965
32.5,-0.0055,0.96
32.999,-0.005,0.96
33.5,-0.0045,0.96
34.001,-0.004,0.96
34.5,-0.004,0.96
35,-0.0035,0.955
35.501,-0.003,0.955
36,-0.0025,0.95
36.501,-0.002,0.95
37,-0.0015,0.95
37.5,-0.001,0.95
38,-0.0005,0.95
38.5,0,0.95
39,0,0.945
39.5,0,0.945
40,0.0005,0.94
40.5,0.0005,0.94
41,0.0005,0.94
41.499,0.0005,0.94
42,0.001,0.94
42.501,0.0015,0.935
43,0.002,0.93
43.5,0.003,0.93
44,0.0035,0.93
44.501,0.004,0.93
45,0.0045,0.925
45.5,0.005,0.925
46,0.0055,0.92
46.5,0.006,0.92
47.001,0.007,0.92
47.501,0.0075,0.915
48,0.008,0.915
48.501,0.009,0.91
49,0.0095,0.91
49.499,0.0105,0.905
50,0.011,0.905
50.5,0.0115,0.9
51.001,0.0125,0.9
51.499,0.013,0.9
52.001,0.014,0.895
52.501,0.015,0.895
53,0.0155,0.895
53.5,0.016,0.89
53.999,0.017,0.89
54.501,0.0175,0.89
55,0.0185,0.89
55.499,0.019,0.885
55.999,0.02,0.885
56.501,0.0205,0.88
57,0.0215,0.88
57.5,0.022,0.875
58,0.0225,0.875
58.5,0.0235,0.875
59,0.024,0.875
59.5,0.025,0.87
60,0.0255,0.87
60.5,0.0265,0.87
61.001,0.027,0.865
61.5,0.028,0.865
62,0.0285,0.86
62.5,0.0295,0.86
63,0.03,0.855
63.5,0.031,0.855
64,0.0315,0.85
64.5,0.032,0.85
65,0.033,0.845
65.5,0.0335,0.845
65.999,0.0345,0.84
66.5,0.035,0.84
67,0.0355,0.835
67.5,0.0365,0.83
68,0.037,0.83
68.5,0.0375,0.825
69,0.0385,0.825
69.5,0.039,0.82
70,0.0395,0.82
70.5,0.0405,0.815
71.001,0.041,0.815
71.5,0.0415,0.81
72,0.0425,0.81
72.5,0.043,0.805
73,0.0435,0.805
73.501,0.0445,0.805
74.001,0.045,0.8
74.5,0.0455,0.8
74.999,0.0465,0.8
75.5,0.047,0.795
76,0.0475,0.795
76.501,0.0485,0.79
77.001,0.049,0.79
77.501,0.0495,0.79
78,0.0505,0.785
78.5,0.051,0.785
79,0.0515,0.78
79.5,0.052,0.78
80,0.053,0.78
80.5,0.0535,0.775
81,0.054,0.775
81.5,0.055,0.77
81.999,0.0555,0.77
82.499,0.056,0.77
83,0.0565,0.765
83.5,0.0575,0.765
84,0.058,0.765
84.5,0.0585,0.76
85,0.0595,0.76
85.5,0.06,0.76
86,0.0605,0.755
86.5,0.061,0.755
86.999,0.0615,0.75
87.499,0.0625,0.75
88,0.063,0.75
88.5,0.0635,0.745
89.001,0.064,0.745
89.501,0.065,0.745
90,0.0655,0.74
90.5,0.066,0.74
90.999,0.0665,0.74
91.501,0.067,0.735
92,0.0675,0.735
92.5,0.0685,0.735
93,0.069,0.735
93.5,0.0695,0.73
93.999,0.07,0.73
94.5,0.0705,0.725
94.999,0.071,0.725
95.5,0.0715,0.725
95.999,0.0725,0.725
96.5,0.073,0.72
96.999,0.0735,0.72
97.501,0.074,0.715
98,0.0745,0.715
98.5,0.075,0.715
99,0.076,0.71
99.5,0.0765,0.71
99.999,0.077,0.71
100.5,0.0775,0.705
101,0.0785,0.705
101.501,0.079,0.705
102,0.0795,0.705
102.5,0.08,0.7
103.001,0.081,0.7
103.501,0.0815,0.695
104.001,0.082,0.695
104.501,0.0825,0.695
104.999,0.083,0.695
105.499,0.084,0.69
106,0.0845,0.69
106.499,0.085,0.69
107,0.0855,0.685
107.499,0.086,0.685
108.001,0.0865,0.685
108.501,0.0875,0.68
109,0.088,0.68
109.5,0.0885,0.68
110,0.089,0.68
110.501,0.0895,0.675
111,0.09,0.675
111.5,0.091,0.675
112,0.0915,0.67
112.5,0.092,0.67
113,0.0925,0.665
113.501,0.093,0.67
114,0.0935,0.665
114.5,0.094,0.665
115,0.095,0.66
115.5,0.0955,0.66
116,0.096,0.66
116.5,0.0965,0.66
117,0.097,0.655
117.5,0.0975,0.655
118.001,0.098,0.655
118.5,0.0985,0.65
119.001,0.099,0.65
119.5,0.0995,0.65
120,0.1,0.65
120.5,0.1005,0.645
121,0.101,0.645
121.499,0.1015,0.645
121.999,0.102,0.645
122.501,0.1025,0.64
123,0.103,0.64
123.501,0.1035,0.64
124,0.1045,0.635
124.5,0.105,0.635
124.999,0.1055,0.635
125.5,0.106,0.635
126,0.1065,0.63
126.501,0.107,0.63
127,0.1075,0.63
127.5,0.108,0.625
128,0.1085,0.625
128.5,0.109,0.625
129,0.1095,0.625
129.5,0.11,0.62
130.001,0.1105,0.62
130.5,0.111,0.62
131,0.1115,0.62
131.5,0.112,0.615
132,0.1125,0.615
132.5,0.113,0.615
133,0.113,0.615
133.499,0.1135,0.61
134,0.114,0.61
134.5,0.1145,0.61
135,0.115,0.61
135.501,0.1155,0.605
136,0.116,0.605
136.499,0.1165,0.605
137,0.117,0.605
137.5,0.1175,0.6
138,0.118,0.6
138.501,0.1185,0.6
139,0.119,0.6
139.5,0.1195,0.595
139.999,0.1195,0.595
140.5,0.12,0.595
141.001,0.1205,0.59
141.501,0.121,0.59
141.999,0.1215,0.59
142.499,0.122,0.59
143,0.1225,0.59
143.5,0.123,0.585
144,0.1235,0.585
144.5,0.124,0.585
145,0.124,0.58
145.5,0.1245,0.58
146,0.125,0.58
146.501,0.1255,0.58
147,0.126,0.58
147.5,0.1265,0.575
148,0.127,0.575
148.499,0.127,0.575
148.999,0.1275,0.57
149.5,0.128,0.57
150,0.1285,0.57
150.499,0.129,0.57
150.999,0.129,0.565
151.5,0.1295,0.565
152,0.13,0.565
152.5,0.1305,0.565
153.001,0.131,0.56
153.5,0.131,0.56
153.999,0.1315,0.56
154.5,0.132,0.56
155,0.1325,0.56
155.499,0.133,0.555
156,0.133,0.555
156.5,0.1335,0.555
157,0.134,0.55
157.5,0.1345,0.55
157.999,0.1345,0.55
158.5,0.135,0.55
159,0.1355,0.545
159.5,0.136,0.545
160,0.136,0.545
160.499,0.1365,0.54
161,0.137,0.54
161.5,0.1375,0.54
162,0.1375,0.54
162.5,0.138,0.535
163,0.1385,0.535
163.5,0.139,0.535
164,0.139,0.535
164.5,0.1395,0.53
165,0.14,0.53
165.5,0.14,0.53
166,0.1405,0.53
166.501,0.141,0.525
167,0.1415,0.525
167.499,0.1415,0.525
167.999,0.142,0.52
168.5,0.1425,0.52
169,0.1425,0.52
169.5,0.143,0.515
170,0.1435,0.515
170.5,0.1435,0.515
170.999,0.144,0.515
171.5,0.1445,0.51
172,0.1445,0.51
172.5,0.145,0.51
173,0.1455,0.505
173.5,0.1455,0.505
174,0.146,0.5
174.5,0.1465,0.5
175,0.1465,0.5
175.5,0.147,0.495
176,0.1475,0.495
176.5,0.1475,0.49
177,0.148,0.49
177.499,0.148,0.485
178,0.1485,0.485
178.5,0.149,0.48
178.999,0.149,0.48
179.5,0.1495,0.475
180,0.1495,0.475
180.5,0.15,0.47
181.001,0.1505,0.465
181.5,0.1505,0.465
182,0.151,0.46
182.5,0.151,0.455
183,0.1515,0.455
183.5,0.152,0.45
184.001,0.152,0.445
184.5,0.1525,0.44
185,0.1525,0.435
185.5,0.153,0.43
185.999,0.1535,0.425
186.501,0.1535,0.415
187.001,0.154,0.41
187.5,0.154,0.405
188.001,0.1545,0.395
188.5,0.1545,0.39
189,0.155,0.38
189.499,0.155,0.375
190.001,0.1555,0.365
190.5,0.1555,0.36
191,0.156,0.35
191.5,0.156,0.34
192,0.1565,0.33
192.5,0.1565,0.32
193,0.157,0.31
193.5,0.1575,0.3
194,0.1575,0.29
194.5,0.158,0.28
195.001,0.158,0.27
195.501,0.1585,0.255
196,0.1585,0.245
196.5,0.159,0.235
197,0.159,0.22
197.5,0.159,0.21
198,0.1595,0.195
198.5,0.1595,0.185
199,0.1595,0.17
199.5,0.16,0.16
200,0.16,0.145
200.5,0.1605,0.135
201,0.1605,0.12
201.5,0.161,0.11
202,0.161,0.1
202.5,0.1615,0.085
202.999,0.1615,0.075
203.5,0.162,0.065
204,0.162,0.055
204.501,0.162,0.045
205,0.1625,0.04
205.5,0.1625,0.03
206,0.163,0.025
206.5,0.163,0.02
207,0.1635,0.015
207.5,0.1635,0.015
207.999,0.1635,0.01
208.5,0.164,0.01
209,0.164,0.01
209.5,0.1645,0.005
210,0.1645,0.01
210.501,0.1645,0.005
211,0.165,0.005
211.5,0.165,0.005
211.999,0.1655,0.005
