Zeit t / s,Spannung U_A1 / V,Spannung U_B1 / V
0,-0.0195,-0.0185
0.101,-0.0195,-0.0175
0.199,-0.02,-0.018
0.3,-0.02,-0.018
0.4,-0.02,-0.0175
0.5,-0.02,-0.018
0.599,-0.02,-0.0175
0.699,-0.02,-0.0175
0.8,-0.02,-0.0175
0.9,-0.0195,-0.017
1,-0.02,-0.0175
1.099,-0.02,-0.0175
1.2,-0.0195,-0.0175
1.3,-0.0195,-0.017
1.401,-0.0195,-0.0175
1.5,-0.02,-0.0175
1.6,-0.02,-0.0175
1.7,-0.0195,-0.017
1.8,-0.02,-0.0175
1.899,-0.02,-0.0175
2.001,-0.0195,-0.0175
2.1,-0.0195,-0.0175
2.201,-0.02,-0.0175
2.3,-0.02,-0.018
2.4,-0.0195,-0.0175
2.5,-0.0195,-0.017
2.6,-0.02,-0.0175
2.701,-0.0195,-0.017
2.8,-0.0195,-0.017
2.901,-0.0195,-0.016
3,-0.0195,-0.0175
3.1,-0.0195,-0.0175
3.2,-0.0195,-0.0185
3.3,-0.02,-0.019
3.401,-0.0195,-0.019
3.5,-0.0195,-0.019
3.6,-0.0195,-0.019
3.7,-0.0195,-0.0185
3.799,-0.0195,-0.0175
3.899,-0.0195,-0.016
4,-0.0195,-0.022
4.099,-0.02,-0.0215
4.199,-0.02,-0.02
4.3,-0.02,-0.0185
4.401,-0.0195,-0.017
4.499,-0.02,-0.0135
4.6,-0.0195,-0.0135
4.7,-0.0195,-0.014
4.799,-0.0195,-0.014
4.9,-0.02,-0.0165
5.001,-0.0195,-0.017
5.099,-0.0195,-0.0185
5.2,-0.019,-0.019
5.3,-0.019,-0.019
5.399,-0.0195,-0.0185
5.5,-0.019,-0.018
5.599,-0.019,-0.0175
5.7,-0.018,-0.017
5.799,-0.0185,-0.013
5.899,-0.018,-0.012
6,-0.0175,-0.0085
6.1,-0.016,-0.0045
6.2,-0.0135,-0.0075
6.299,-0.011,-0.005
6.399,-0.0085,-0.0045
6.5,-0.0055,-0.007
6.6,-0.0025,-0.002
6.699,0,-0.0065
6.8,0.0025,-0.002
6.9,0.0055,-0.005
7,0.007,-0.005
7.1,0.01,-0.004
7.199,0.013,-0.004
7.3,0.017,-0.005
7.399,0.02,-0.0065
7.499,0.024,-0.006
7.6,0.0285,-0.0045
7.7,0.034,-0.007
7.799,0.0435,-0.0025
7.899,0.0535,-0.011
8,0.065,-0.008
8.099,0.079,-0.0035
8.2,0.093,-0.007
8.3,0.1065,-0.009
8.399,0.119,-0.0065
8.5,0.1295,-0.0085
8.6,0.138,-0.011
8.699,0.146,-0.0045
8.8,0.1545,-0.013
8.9,0.163,-0.01
8.999,0.169,-0.006
9.1,0.1775,-0.009
9.199,0.1815,-0.007
9.301,0.1855,-0.014
9.4,0.187,-0.0045
9.5,0.189,-0.0075
9.599,0.19,-0.0035
9.699,0.191,-0.0115
9.799,0.1915,-0.008
9.9,0.1925,-0.0095
10,0.1925,-0.0085
10.1,0.1925,-0.008
10.201,0.1925,-0.0075
10.3,0.193,-0.009
10.4,0.193,-0.0085
10.5,0.193,-0.0085
10.6,0.193,-0.008
10.699,0.193,-0.0085
10.8,0.193,-0.008
10.899,0.193,-0.0085
11,0.193,-0.0075
11.1,0.193,-0.0085
11.199,0.193,-0.0085
11.299,0.193,-0.008
11.4,0.193,-0.0085
11.5,0.1935,-0.0095
11.6,0.1935,-0.0095
11.699,0.193,-0.008
11.799,0.193,-0.0085
11.899,0.1935,-0.0085
12,0.1935,-0.0095
12.1,0.1935,-0.009
12.199,0.1935,-0.009
12.3,0.1935,-0.01
12.399,0.1935,-0.009
12.501,0.191,-0.01185
12.6,0.1935,-0.01035
12.7,0.193,-0.00975
12.8,0.1935,-0.0093
12.9,0.193,-0.01035
13,0.1945,-0.01005
13.1,0.1935,-0.0102
13.2,0.193,-0.0102
13.301,0.194,-0.01005
13.399,0.1935,-0.0096
13.5,0.1935,-0.0102
13.599,0.1935,-0.00945
13.7,0.1935,-0.01035
13.8,0.1945,-0.01035
13.901,0.194,-0.0105
13.999,0.193,-0.00885
14.1,0.1935,-0.00945
14.199,0.1935,-0.00945
14.3,0.1935,-0.0096
14.399,0.1935,-0.0096
14.5,0.194,-0.0105
14.6,0.1935,-0.0099
14.7,0.1935,-0.0099
14.8,0.194,-0.01065
14.9,0.194,-0.0108
15,0.1935,-0.0099
15.1,0.194,-0.01065
15.199,0.193,-0.009
15.299,0.1935,-0.01005
15.401,0.1935,-0.01185
15.499,0.1935,-0.0102
15.599,0.1935,-0.01005
15.701,0.194,-0.0108
15.8,0.194,-0.01095
15.9,0.1935,-0.01035
16,0.1935,-0.0102
16.099,0.1935,-0.0105
16.201,0.1935,-0.0108
16.3,0.1935,-0.0102
16.4,0.1935,-0.0102
16.5,0.1935,-0.01095
16.6,0.194,-0.01095
16.7,0.194,-0.0102
16.8,0.1935,-0.01095
16.9,0.1935,-0.0102
16.999,0.193,-0.0093
17.099,0.193,-0.0093
17.2,0.194,-0.01095
17.3,0.194,-0.01035
17.4,0.194,-0.0105
17.5,0.193,-0.0105
17.6,0.1935,-0.0111
17.701,0.1935,-0.012
17.799,0.194,-0.0102
17.899,0.1945,-0.0102
18.001,0.194,-0.0111
18.099,0.1945,-0.01035
18.2,0.194,-0.0102
18.3,0.1945,-0.01035
18.399,0.1935,-0.0093
18.499,0.193,-0.00945
18.599,0.1935,-0.0105
18.7,0.1945,-0.01035
18.8,0.193,-0.01035
18.9,0.194,-0.01035
19.001,0.1935,-0.0123
19.1,0.194,-0.01095
19.201,0.194,-0.0111
19.299,0.193,-0.00945
19.399,0.1935,-0.0093
19.5,0.194,-0.0105
19.599,0.1945,-0.0105
19.699,0.1945,-0.01035
19.801,0.194,-0.0126
19.899,0.1935,-0.00975
19.999,0.193,-0.0105
20.1,0.194,-0.01125
20.2,0.1945,-0.01065
20.3,0.1935,-0.01065
20.4,0.1945,-0.0108
20.499,0.1935,-0.00975
20.599,0.1945,-0.01065
20.7,0.1945,-0.01215
20.799,0.1935,-0.0108
20.9,0.1935,-0.0108
21,0.194,-0.01125
21.1,0.194,-0.01125
21.2,0.194,-0.0111
21.299,0.1935,-0.0102
21.401,0.1935,-0.01215
21.5,0.194,-0.01095
21.599,0.193,-0.01065
21.701,0.194,-0.0111
21.799,0.194,-0.01065
21.9,0.194,-0.0111
22,0.1945,-0.0105
22.099,0.1935,-0.00975
22.201,0.194,-0.0111
22.3,0.194,-0.01125
22.399,0.1945,-0.01035
22.5,0.1945,-0.0105
22.599,0.1935,-0.0105
22.699,0.1945,-0.0105
22.801,0.194,-0.01125
22.9,0.194,-0.0111
23,0.1945,-0.0108
23.1,0.194,-0.01125
23.199,0.1945,-0.01065
23.301,0.194,-0.01125
23.399,0.1935,-0.0105
23.499,0.1945,-0.01065
23.6,0.194,-0.0111
23.699,0.1935,-0.01065
23.8,0.194,-0.01125
23.901,0.1935,-0.01215
23.999,0.193,-0.0105
24.099,0.1935,-0.01215
24.2,0.194,-0.0111
24.299,0.194,-0.01035
24.4,0.194,-0.0111
24.5,0.194,-0.0111
24.6,0.194,-0.0102
24.699,0.1935,-0.00945
24.799,0.1935,-0.0093
24.899,0.1945,-0.01035
24.999,0.193,-0.01035
25.1,0.194,-0.01035
25.199,0.1945,-0.01035
25.299,0.194,-0.0102
25.4,0.194,-0.0111
25.499,0.194,-0.01035
25.6,0.194,-0.0111
25.7,0.1945,-0.01035
25.799,0.1935,-0.0102
25.9,0.194,-0.0102
26,0.1945,-0.01035
26.1,0.1945,-0.01035
26.199,0.193,-0.0102
26.3,0.194,-0.01095
26.401,0.194,-0.01095
26.501,0.194,-0.0111
26.6,0.193,-0.01065
26.701,0.194,-0.01095
26.8,0.194,-0.01125
26.9,0.194,-0.0111
26.999,0.194,-0.01065
27.1,0.194,-0.0111
27.199,0.1945,-0.0105
27.3,0.1945,-0.0111
27.4,0.1935,-0.01065
27.5,0.1945,-0.01065
27.6,0.193,-0.0105
27.699,0.1935,-0.00975
27.8,0.193,-0.0105
27.9,0.1935,-0.01035
27.999,0.1935,-0.0096
28.1,0.194,-0.012
28.2,0.1935,-0.01095
28.299,0.193,-0.0105
28.4,0.1935,-0.0111
28.5,0.194,-0.0111
28.6,0.194,-0.0111
28.7,0.194,-0.0111
28.799,0.193,-0.0105
28.901,0.1935,-0.01095
29,0.1945,-0.0105
29.1,0.194,-0.01035
29.201,0.1935,-0.01155
29.301,0.194,-0.0111
29.4,0.1945,-0.01035
29.5,0.1945,-0.01035
29.601,0.1935,-0.01095
29.7,0.194,-0.0111
29.8,0.1945,-0.01035
29.9,0.193,-0.0105
29.999,0.193,-0.00975
30.101,0.1935,-0.0111
30.199,0.194,-0.01035
30.3,0.194,-0.01095
30.4,0.194,-0.01095
30.499,0.194,-0.0105
30.6,0.194,-0.0111
30.699,0.193,-0.01035
30.8,0.194,-0.0126
30.899,0.194,-0.0102
30.999,0.193,-0.01035
31.1,0.194,-0.01095
31.199,0.1945,-0.0105
31.3,0.194,-0.01035
31.399,0.193,-0.0099
31.501,0.1935,-0.01275
31.599,0.194,-0.0102
31.7,0.1945,-0.0105
31.8,0.194,-0.00975
31.9,0.1945,-0.0105
32,0.194,-0.01095
32.1,0.194,-0.01095
32.201,0.194,-0.0111
32.299,0.193,-0.0108
32.4,0.1935,-0.01095
32.5,0.194,-0.01125
32.6,0.194,-0.01155
32.701,0.194,-0.0108
32.8,0.194,-0.01035
32.9,0.193,-0.0102
32.999,0.193,-0.0081
33.099,0.194,-0.0096
33.2,0.194,-0.01065
33.3,0.194,-0.01035
33.399,0.1935,-0.0099
33.5,0.194,-0.0105
33.6,0.1935,-0.0105
33.7,0.1935,-0.01245
33.799,0.194,-0.0099
33.9,0.194,-0.0105
34,0.1935,-0.00975
34.099,0.1935,-0.00975
34.2,0.194,-0.01035
34.3,0.194,-0.0105
34.4,0.194,-0.0105
34.501,0.194,-0.0105
34.6,0.194,-0.0105
34.7,0.194,-0.01065
34.8,0.194,-0.0105
34.899,0.1935,-0.00975
35,0.194,-0.01065
35.1,0.1935,-0.0096
35.201,0.194,-0.01065
35.301,0.194,-0.01065
35.4,0.1935,-0.0096
35.5,0.1935,-0.0117
35.599,0.193,-0.00825
35.699,0.1935,-0.00825
35.8,0.194,-0.0105
35.899,0.1935,-0.00945
36.001,0.1935,-0.01155
36.1,0.194,-0.01035
36.201,0.194,-0.0105
36.299,0.1935,-0.00915
36.401,0.194,-0.0102
36.499,0.1935,-0.0093
36.6,0.194,-0.01035
36.7,0.1935,-0.00915
36.801,0.194,-0.0102
36.9,0.1935,-0.009
37,0.1935,-0.00885
37.099,0.1935,-0.009
37.2,0.1935,-0.009
37.3,0.1935,-0.00885
37.401,0.194,-0.01005
37.5,0.1935,-0.0087
37.599,0.1935,-0.00855
37.699,0.1935,-0.0084
37.8,0.1935,-0.00885
37.9,0.1935,-0.00945
37.999,0.1935,-0.0102
38.099,0.193,-0.0108
38.2,0.194,-0.0162
38.3,0.1935,-0.0066
38.4,0.1935,-0.00885
38.499,0.193,-0.0087
38.599,0.1935,-0.0108
38.7,0.193,-0.01095
38.8,0.1925,-0.00555
38.899,0.1925,-0.0066
38.999,0.1925,-0.00585
39.101,0.1925,-0.0129
39.2,0.1925,-0.0066
39.3,0.192,-0.00465
39.399,0.192,0.00165
39.5,0.193,-0.00675
39.599,0.192,-0.003
39.7,0.192,-0.00435
39.801,0.1925,-0.01605
39.899,0.1915,-0.00435
40.001,0.1915,-0.0087
40.1,0.1905,-0.0042
40.199,0.1895,-0.0021
40.301,0.189,-0.0105
40.399,0.188,-0.00165
40.501,0.189,-0.00735
40.6,0.1885,-0.0066
40.701,0.189,-0.0096
40.799,0.1875,-0.00855
40.9,0.188,-0.00915
40.999,0.1875,-0.0075
41.099,0.187,-0.0075
41.2,0.187,-0.00885
41.3,0.186,-0.0072
41.4,0.1865,-0.0087
41.5,0.1855,-0.0072
41.6,0.1855,-0.00855
41.701,0.185,-0.01275
41.799,0.1835,-0.00675
41.901,0.1835,-0.0081
42.001,0.1825,-0.0081
42.1,0.1815,-0.00675
42.2,0.181,-0.00675
42.3,0.18,-0.00675
42.399,0.1795,-0.0066
42.5,0.1795,-0.0078
42.601,0.1785,-0.0078
42.7,0.178,-0.00765
42.799,0.177,-0.0063
42.899,0.1765,-0.0063
43,0.176,-0.0063
43.1,0.1755,-0.00615
43.201,0.175,-0.0075
43.3,0.1745,-0.0075
