Zeit t / s,Spannung U_A1 / V,Spannung U_B1 / V
0,-0.00745,-8.515
0.1,-0.00775,-8.515
0.2,-0.00775,-8.515
0.3,-0.0078,-8.515
0.401,-0.0078,-8.515
0.5,-0.00785,-8.515
0.601,-0.0078,-8.515
0.7,-0.0078,-8.515
0.8,-0.0078,-8.515
0.9,-0.00785,-8.515
1,-0.0078,-8.515
1.101,-0.00795,-8.515
1.201,-0.00775,-8.515
1.3,-0.00775,-8.515
1.4,-0.00775,-8.515
1.5,-0.0078,-8.515
1.599,-0.0077,-8.51
1.7,-0.00785,-8.51
1.799,-0.0077,-8.51
1.9,-0.0079,-8.51
2,-0.00785,-8.51
2.1,-0.0079,-8.51
2.2,-0.00795,-8.515
2.3,-0.00795,-8.515
2.4,-0.008,-8.515
2.5,-0.008,-8.51
2.601,-0.00815,-8.51
2.7,-0.00805,-8.51
2.8,-0.00805,-8.51
2.9,-0.00805,-8.51
3.001,-0.0082,-8.515
3.101,-0.0082,-8.51
3.2,-0.0081,-8.515
3.301,-0.0081,-8.515
3.4,-0.00815,-8.515
3.501,-0.00825,-8.52
3.601,-0.00815,-8.52
3.7,-0.0081,-8.52
3.8,-0.0081,-8.52
3.9,-0.0081,-8.52
4,-0.0081,-8.52
4.1,-0.0081,-8.52
4.2,-0.0081,-8.52
4.301,-0.0083,-8.52
4.401,-0.0081,-8.52
4.5,-0.00815,-8.52
4.601,-0.0083,-8.52
4.701,-0.00815,-8.52
4.801,-0.0082,-8.52
4.9,-0.0082,-8.52
5.001,-0.0084,-8.515
5.1,-0.0082,-8.515
5.2,-0.00825,-8.515
5.301,-0.0084,-8.52
5.401,-0.00825,-8.52
5.5,-0.00825,-8.52
5.6,-0.0083,-8.52
5.701,-0.0085,-8.52
5.801,-0.0085,-8.525
5.901,-0.00835,-8.525
6,-0.00835,-8.525
6.1,-0.00835,-8.525
6.2,-0.00835,-8.525
6.301,-0.00855,-8.525
6.401,-0.0086,-8.52
6.5,-0.00835,-8.52
6.6,-0.0084,-8.52
6.701,-0.0084,-8.52
6.801,-0.0084,-8.52
6.9,-0.00835,-8.52
7,-0.0084,-8.52
7.1,-0.0084,-8.52
7.2,-0.0084,-8.52
7.3,-0.00845,-8.52
7.4,-0.00845,-8.52
7.5,-0.00845,-8.52
7.6,-0.00845,-8.52
7.7,-0.00845,-8.525
7.801,-0.0089,-8.525
7.901,-0.0085,-8.525
8,-0.0085,-8.525
8.1,-0.00855,-8.525
8.2,-0.00855,-8.52
8.301,-0.00905,-8.525
8.401,-0.0086,-8.525
8.5,-0.0093,-8.53
8.6,-0.00845,-8.525
8.7,-0.00865,-8.525
8.8,-0.00865,-8.525
8.9,-0.0087,-8.52
9,-0.0087,-8.525
9.1,-0.00875,-8.525
9.2,-0.0087,-8.525
9.301,-0.00875,-8.525
9.401,-0.00875,-8.525
9.5,-0.0088,-8.525
9.6,-0.0088,-8.525
9.7,-0.00885,-8.525
9.8,-0.00885,-8.525
9.901,-0.00885,-8.525
10,-0.00885,-8.525
10.101,-0.00895,-8.52
10.2,-0.00895,-8.52
10.3,-0.00895,-8.525
10.401,-0.009,-8.525
10.5,-0.009,-8.525
10.6,-0.00905,-8.525
10.701,-0.0091,-8.525
10.801,-0.0091,-8.525
10.9,-0.00915,-8.525
11,-0.00875,-8.525
11.1,-0.0092,-8.525
11.2,-0.0092,-8.52
11.301,-0.00945,-8.52
11.401,-0.0095,-8.525
11.5,-0.0093,-8.525
11.601,-0.0095,-8.525
11.701,-0.0095,-8.525
11.8,-0.0094,-8.52
11.9,-0.0095,-8.52
12.001,-0.00955,-8.515
12.101,-0.00955,-8.515
12.2,-0.00945,-8.52
12.301,-0.00945,-8.52
12.4,-0.0095,-8.52
12.499,-0.009,-8.52
12.601,-0.0096,-8.52
12.701,-0.00965,-8.52
12.801,-0.0095,-8.52
12.9,-0.0095,-8.525
13,-0.00905,-8.525
13.1,-0.0091,-8.525
13.2,-0.0091,-8.52
13.3,-0.00955,-8.52
13.401,-0.00975,-8.52
13.501,-0.00975,-8.52
13.6,-0.0096,-8.52
13.701,-0.00975,-8.525
13.799,-0.0093,-8.525
13.9,-0.0096,-8.52
14.001,-0.0098,-8.525
14.101,-0.0096,-8.52
14.2,0.00916406023550697,-8.52
14.3,0.00917755414040146,-8.525
14.4,0.00917074151854691,-8.52
14.501,0.00918055009245089,-8.52
14.601,0.00919157222677383,-8.52
14.7,0.0091949714518317,-8.52
14.801,0.00919782583005353,-8.52
14.9,0.00920258115965298,-8.52
15,0.00921127027070642,-8.52
15.101,0.00921439091855778,-8.52
15.201,0.00921601866317555,-8.52
15.3,0.00921981561637759,-8.515
15.401,0.00922361100654185,-8.52
15.5,0.00923187413259085,-8.52
15.6,0.00923579991121505,-8.52
15.7,0.00924161782373627,-8.52
15.8,0.00924756724766033,-8.52
15.901,0.00925472852113988,-8.52
16,0.00925540382695428,-8.52
16.099,0.00926296388851862,-8.52
16.2,0.00927200086281273,-8.525
16.3,0.00927510107761635,-8.525
16.4,0.0092788738540838,-8.52
16.5,0.0092784697014109,-8.525
16.601,0.00928520328264277,-8.525
16.701,0.00929247006990068,-8.525
16.8,0.00930362832447642,-8.525
16.901,0.00930470311186768,-8.525
17.001,0.00931638341847307,-8.525
17.101,0.0093187982057774,-8.525
17.2,0.00932496648787544,-8.525
17.301,0.00932965701406006,-8.525
17.4,0.00933648756224738,-8.53
17.5,0.00934264416533136,-8.525
17.601,0.00934545344004238,-8.525
17.7,0.00934986630920464,-8.525
17.8,0.00935788437628933,-8.525
17.901,0.00935280706526121,-8.525
18,0.00936269192059634,-8.525
18.1,0.00936295893401226,
18.201,0.00937243298188896,
18.3,0.00937243298188896,
18.401,0.00938189746266713,8.52298363250804
18.5,0.00939055376428888,8.52077901368179
18.6,0.00939561067733226,8.52030369177062
18.701,0.00940797534010374,8.52033009923911
18.801,0.00940784247317099,8.52064698247733
18.9,0.0094122260916321,8.52157115794969
19,0.00941780229140536,8.5213071180424
19.101,0.00942589518295212,8.5203697102884
19.2,0.00943278855906354,8.52021126498633
19.301,0.00944020656553658,8.52114869017083
19.4,0.00944563391202517,8.52558355773961
19.501,0.00944616324229049,8.52677107702558
19.601,0.00944960316627106,8.52271963636021
19.7,0.00945766884596833,8.52143913901871
19.8,0.00946533147861183,8.52154475432712
19.901,0.00947523086789974,8.52155795614863
20,0.00948643768756218,8.52213881604847
20.1,0.00948670121802094,8.52246883244521
20.201,0.00949499868351755,8.52102986733411
20.3,0.00950328890437411,8.52062057599093
20.4,0.00950381502345242,8.5198283433412
20.5,0.0095114404797591,8.52017165320042
20.6,0.00951498817655598,8.52109588022573
20.701,0.00952470471983253,8.52192759884758
20.802,0.00952496719154455,8.52320802280456
20.9,0.00953821262082158,8.5224160306805
21,0.00953768839918772,8.52192759884758
21.1,0.00954240535714136,8.52257443499322
21.2,0.00954410813015025,8.52192759884758
21.3,0.00954803644735398,8.52202000701712
21.4,0.00955876561068426,8.52109588022573
21.501,0.00956138065344122,8.51978872977493
21.6,0.00957300893136531,8.51684360546793
21.699,0.0095761422295202,8.5147959458815
21.8,0.00957757798193259,8.51622275424968
21.901,0.00958384056628657,8.51753045195613
22,0.00958866518343403,8.51834931192658
22.1,0.00960611784229196,8.51980193431749
22.2,0.00960494664222556,8.52029048800568
22.3,0.00960950050731046,8.52071299833529
22.401,0.00963820522711568,8.52072620144551
22.501,0.00963093972569655,8.52294403360717
22.6,0.0096422248469946,8.52526685799336
22.701,0.00963638936531728,8.52520087739873
22.8,0.00965569779974498,8.52402633735959
22.9,0.00964935230987034,8.52242923115235
23.001,0.00965660395791398,8.5229176342377
23.1,0.00967923034130297,8.52419790948099
23.2,0.00966941053012023,8.52289123478647
23.301,0.00968336201946411,8.52233682742005
23.4,0.0096858143694787,8.52283843563868
23.5,0.00967367561994922,8.5219672024715
23.6,0.009669151979362,8.52182198828396
23.7,0.00967819714616312,8.52100346203427
23.8,0.00968129640079261,8.52212561512678
23.9,0.00968723386731218,8.5224556320347
24.001,0.00969394140687884,8.52104306995335
24.1,0.00970888768088292,8.51969629740403
24.201,0.00971236325515062,8.51882474288561
24.301,0.00971480828426377,8.51856061785088
24.401,0.009722011108819,8.51827007085359
24.501,0.009732676918505,8.5187058876334
24.6,0.00973858305915188,8.51821724306207
24.7,0.00974153478667504,8.51627559441332
24.801,0.00974833319085884,8.51417494534849
24.901,0.00974923073888397,8.51511303506888
25.001,0.00975743306407992,8.51874550623506
25.1,0.00976652445857788,8.5196566832238
25.201,0.00977496803063826,8.51825686393643
25.301,0.00979668311215587,8.51632843424911
25.4,0.00979681070553065,8.513857821223
25.5,0.0097923439482077,8.51143936123615
25.6,0.00980357077803797,8.51273457826567
25.701,0.00979476901207987,8.51302531418767
25.8,0.00980510071340422,8.51361997037688
25.901,0.00981453004478564,8.5145184831557
26,0.00981847747871329,8.51151866590211
26.101,0.0098261131684914,8.51047442860855
26.2,0.00982776678599976,8.51310460407952
26.301,0.00983717439105356,8.5146373968596
26.4,0.00983158176490436,8.51602460071599
26.501,0.00984327181378225,8.51540368978477
26.6,0.00985126895379473,8.5149544919512
26.7,0.00985152272493953,8.51421458503367
26.8,0.00985558217458512,8.51519230552076
26.9,0.00986128794833616,8.51792668435224
27.001,0.00986686373677067,8.51903603701733
27.1,0.00987484177088423,8.51821724306207
27.2,0.00987889163823554,8.51581323186459
27.3,0.00988900905045597,8.51266850053495
27.4,0.00988989383158384,8.51186231091645
27.499,0.00989280041242115,8.5099324321642
27.601,0.00989419021446424,8.50878222779265
27.702,0.00990530161075371,8.50748640903998
27.8,0.0099128704218304,8.50855745705463
27.9,0.00991904733328761,8.50790955523153
28.001,0.00992421281513048,8.50587297107122
28.101,0.00992496851380396,8.50640200084619
28.2,0.00993680028983173,8.5086103448213
28.3,0.00994874363927426,8.51154510062656
28.4,0.00994522498488596,8.50956226841311
28.501,0.00996305675985036,8.50868967585491
28.601,0.00995540054442814,8.50681197629288
28.7,0.00996104914153123,8.50571425572244
28.799,0.00996782323278257,8.50630942301066
28.9,0.00997396611183335,8.51036867591528
29.001,0.00998223421885101,8.51564149080972
29.101,0.00998774248766957,8.51684360546793
29.2,0.00999537392997381,8.51672472256794
29.299,0.00999174659406452,8.51487521928536
29.4,0.0100026246555592,8.51619633404491
29.5,0.00999924997187289,8.51866626884749
29.601,0.0100074971896074,8.51988116114304
29.7,0.0100162368182866,8.51993397861744
29.8,0.0100194810244843,8.51908885973142
29.9,0.0100237218636592,8.51661904748592
30,0.0100415387267092,8.51767573930823
30.101,0.0100497512407024,8.51947181461386
30.2,0.0100644175191613,8.51997359150837
30.3,0.0100716185392418,8.52022446887404
30.401,0.0100810465726531,8.5198283433412
30.5,0.0100895986045036,8.51923412050637
30.6,0.0100836501327644,8.51734553719643
30.7,0.0100943053252812,8.51799272129297
30.801,0.0101119978243669,8.51832289831749
30.901,0.0101060625369132,8.51899641976683
31,0.0101202766760598,8.51585286392385
31.1,0.0101244752950462,8.50923175145677
31.2,0.0101776716394272,8.50501322750294
31.299,0.0101843016451792,8.50402110768782
31.4,0.0102268030195169,8.50435182715297
31.501,0.0102775240208914,8.50488095154776
31.6,0.010359295342831,8.50489417923586
31.701,0.0104423416914024,8.50502645498531
31.8,0.0104919016388832,8.5049735449324
31.9,0.0105388566742318,8.50513227410368
32.001,0.0105920961098359,8.50522486475225
32.1,0.0105753250541059,8.506269746487
32.2,0.0103853261864999,8.50723515603043
32.3,0.0101207707216397,8.50757897406777
32.4,0.00960052081920559,8.50666650339603
32.5,0.00901956207362641,8.50616394151911
32.6,0.00843134034421574,8.50609781274587
32.701,0.00793441869326292,8.50678552686031
32.801,0.00744479684074724,8.50980023267292
32.9,0.00689148024737792,8.51280065548348
33,0.00652284447154767,8.51059339881773
33.101,0.0060757715559425,8.50679875158687
33.2,0.00576216105293839,8.50596555365703
33.3,0.00530589295029593,8.50702356879303
33.4,0.00483114893167247,8.5078698861701
33.5,0.00419612916865056,8.51027614123067
33.6,0.00375599520766467,8.51350104246191
33.701,0.00338895264056611,8.51023648320069
33.801,0.00281646942110153,8.50558199066942
33.9,0.0031344856037315,8.45909569634958
34.001,0.00407308237088326,8.21377044967779
34.1,0.0042804789451649,8.02337366698074
34.201,0.00452990066116245,7.78563581218644
34.3,0.00489234095295902,7.5664109721849
34.401,0.00504628576281605,7.29724948182533
34.501,0.00535957087834465,7.0852258256177
34.6,0.0055792024519639,6.85664094145231
34.7,0.0069831941115796,6.68390978395131
34.8,0.0107430209903919,6.57325261951798
34.901,0.01567123160444,5.18596664084913
35.001,0.0221656829355651,2.98774998954062
35.1,0.0286078660511405,
35.201,0.0348918686802527,
35.301,0.0348918686802527,
35.4,0.0438110431284168,
35.501,0.0490055354016258,
35.6,0.0490055354016258,
35.7,0.0579922193056965,
35.8,0.0618029732294491,
35.9,0.0618029732294491,
36,0.0689790366705712,
36.101,,
36.201,,
36.3,,
36.4,0.082292739655452,0.0391979591305466
36.501,0.0872163258799636,0.0383214039408788
36.6,0.0951848990123959,0.0382105679099382
36.701,0.108011770191956,0.0385526263696781
36.8,0.127474585702406,0.0353621619814174
36.9,0.174107746812139,0.0328393818455829
37.001,0.186608500610235,0.0322290629711756
37.1,0.186709573937707,0.0318268754357069
37.2,0.186810773243943,0.0313804875679139
37.3,0.187030572367193,0.0312118967703022
37.401,0.187162376026807,0.0304651440173849
37.501,0.187459615650945,0.0302405357095406
37.6,0.187624278812738,0.0290698297208635
37.7,0.187781668434382,0.0297949240643436
37.799,0.18879643799606,0.029474522896902
37.901,0.189743003823593,0.0299188903537548
38.001,0.18959513443124,0.0289006055299885
38.1,0.18944423981742,0.0292049653312583
38.2,0.189553950103922,0.0287115830284573
38.3,0.190068349548261,0.0289037194838311
38.401,0.19068687684264,0.0288764610019995
38.501,0.191413283238128,0.0285461468503194
38.601,0.191948899449828,0.0287155010403789
38.701,0.192037672085453,0.0286876715681144
38.8,0.192045463367402,0.0284225262775848
38.901,0.192023436069663,0.0290508605724512
39,0.192070416774682,0.029802852212498
39.101,0.192052668557352,0.0305300671469946
39.201,0.192064032291317,0.0300906131542712
39.3,0.192105615482734,0.0300277371774831
39.401,0.192097065308141,0.0307207177650523
39.501,0.192103565818024,0.0309363863435922
39.601,0.192121309333452,0.0303830544876581
39.701,0.192113813922893,0.0302557845708883
39.801,0.192114516630056,0.030260617971218
39.901,0.192137763076393,0.0300636824091793
40,0.192166334200348,0.0301417899269436
40.1,0.192165807312331,0.0304023025443798
40.2,0.192201983600586,0.0298319040625971
40.3,0.192209709692305,0.0298168157253587
