Zeit t / s,Spannung U_A1 / V,Spannung U_B1 / V
0,0.0098,-2.1555
0.101,0.0118,-2.1765
0.201,0.01145,-2.184
0.3,0.0072,-2.178
0.4,0.0122,-2.208
0.5,0.0102,-2.1795
0.601,0.01425,-2.1585
0.7,0.01185,-2.148
0.8,0.00985,-2.103
0.901,0.01275,-2.0115
1,0.01115,-1.8855
1.1,0.0104,-1.815
1.201,0.0138,-1.7535
1.301,0.011,-1.5945
1.4,0.0104,-1.446
1.501,0.0125,-1.293
1.6,0.01705,-1.1865
1.7,0.02265,-0.6915
1.801,0.0322,
1.9,0.0353,
2,0.04255,
2.101,0.051,-0.02795
2.2,0.0582,0.00745
2.301,0.07015,-0.0014
2.4,0.07525,0.01525
2.5,0.09225,0.005
2.601,,0.02435
2.7,0.1896,0.0415
2.801,0.19125,0.02655
2.9,0.19065,0.02225
3,0.192,0.02345
3.101,0.19485,0.0078
3.201,0.19215,0.02435
3.3,0.1908,0.0235
3.4,0.19155,-0.005
3.5,0.19005,0.02125
3.6,0.18915,0.03515
3.7,0.18945,0.0244
3.801,0.19065,0.02455
3.9,0.18975,0.0212
4.001,0.19125,0.02145
4.1,0.1908,0.02295
4.2,0.192,0.0234
4.299,0.1911,0.03485
4.4,0.1914,0.0353
4.499,0.1917,0.03455
4.601,0.19545,0.0109
4.7,0.1923,0.0221
4.8,0.1923,0.0215
4.899,0.19185,0.03535
5.001,0.19245,0.0228
5.1,0.19185,0.03345
5.201,0.19245,0.022
5.3,0.19275,0.02455
5.4,0.19305,0.0231
5.501,0.19485,0.01055
5.601,0.195,0.0118
5.7,0.1929,0.02475
5.8,0.19245,0.0259
5.901,0.1944,0.0138
6.001,0.19335,0.01405
6.1,0.19245,0.0274
6.2,0.19305,0.0275
6.3,0.19305,0.02705
6.401,0.1938,0.01425
6.5,0.1929,0.0277
6.6,0.1932,0.0287
6.699,0.192,0.03845
6.801,0.19485,0.01635
6.9,0.1932,0.0285
7.001,0.1923,0.02865
7.1,0.19245,0.029
7.201,0.1932,0.02825
7.3,0.1923,0.02895
7.401,0.19425,0.01695
7.501,0.1929,0.0165
7.601,0.19425,0.0172
7.7,0.19305,0.0294
7.8,0.1923,0.0301
7.9,0.1923,0.02975
8.001,0.19395,0.01785
8.1,0.19245,0.03075
8.201,0.19215,0.03065
8.301,0.1929,0.0309
8.4,0.19185,0.0401
8.5,0.19185,0.0399
8.6,0.19185,0.04075
8.7,0.1929,0.0318
8.801,0.19215,0.0319
8.9,0.19245,0.0325
9.001,0.1926,0.0325
9.1,0.19215,0.03165
9.201,0.1923,0.03195
9.3,0.19245,0.032
9.4,0.192,0.03255
9.501,0.19245,0.03345
9.6,0.19245,0.03275
9.701,0.192,0.0329
9.801,0.19275,0.0332
9.9,0.1917,0.04115
10,0.1923,0.03415
10.1,0.1926,0.0343
10.2,0.192,0.0341
10.301,0.192,0.0345
10.4,0.1917,0.0421
10.5,0.19245,0.03505
10.6,0.192,0.0353
10.7,0.192,0.03545
10.8,0.1923,0.0358
10.9,0.19245,0.03525
11.001,0.192,0.0358
11.1,0.19185,0.03645
11.201,0.19245,0.03635
11.3,0.19215,0.03635
11.4,0.192,0.0371
